
"Claimant count by sex and age"
"ONS Crown Copyright Reserved [from Nomis on 3 November 2017]"
"Analysis   :","standard"
"Date       :","September 2017"
"Age        :","All categories: Age 16+"
"measure    :","Claimant count"

"2011 super output area - lower layer","mnemonic","Total","Male","Female"
"Wigan 021D","E01006400",5,5,0
"Wigan 021E","E01006401",15,10,0
"Wigan 021F","E01006402",0,0,0
"Wigan 021G","E01006403",5,5,0
"Wigan 022A","E01006290",10,10,5
"Wigan 022B","E01006291",30,20,10
"Wigan 022C","E01006292",10,10,5
"Wigan 022D","E01006293",30,20,10
"Wigan 023A","E01006242",20,10,10
"Wigan 023B","E01006243",15,10,5
"Wigan 023C","E01006244",35,20,15
"Wigan 023D","E01006245",30,20,15
"Wigan 024A","E01006213",40,25,20
"Wigan 024B","E01006215",50,30,15
"Wigan 024C","E01006217",45,25,15
"Wigan 024D","E01006218",55,35,20
"Wigan 024E","E01006219",15,10,5
"Wigan 025A","E01006288",60,35,25
"Wigan 025B","E01006294",45,20,20
"Wigan 025C","E01006295",40,25,15
"Wigan 025D","E01006377",10,5,5
"Wigan 025E","E01006378",10,5,5
"Wigan 026A","E01006212",10,5,5
"Wigan 026B","E01006214",30,15,15
"Wigan 026C","E01006216",35,25,10
"Wigan 026D","E01006322",45,25,20
"Wigan 026E","E01006329",20,15,5
"Wigan 027A","E01006282",40,25,15
"Wigan 027B","E01006283",65,45,25
"Wigan 027C","E01006284",35,15,15
"Wigan 027D","E01006336",75,45,30
"Wigan 027E","E01006337",20,10,10
"Wigan 028A","E01006376",40,20,20
"Wigan 028B","E01006381",10,5,5
"Wigan 028C","E01006382",0,0,0
"Wigan 028D","E01006383",15,10,5
"Wigan 028E","E01006384",10,5,5
"Wigan 029A","E01006250",5,5,5
"Wigan 029B","E01006251",10,5,0
"Wigan 029C","E01006379",10,10,5
"Wigan 029D","E01006380",30,15,10
"Wigan 029E","E01006385",15,5,10
"Wigan 030A","E01006328",55,40,15
"Wigan 030B","E01006333",70,50,15
"Wigan 030C","E01006334",65,40,20
"Wigan 030D","E01006338",40,30,10
"Wigan 031A","E01006248",105,65,40
"Wigan 031B","E01006249",55,25,25
"Wigan 031C","E01006330",5,5,0
"Wigan 031D","E01006331",5,5,0
"Wigan 031E","E01006332",30,20,10
"Wigan 032A","E01006262",35,20,15
"Wigan 032B","E01006263",5,5,0
"Wigan 032C","E01006266",5,5,0
"Wigan 032D","E01006267",40,25,15
"Wigan 032E","E01006268",20,10,10
"Wigan 033A","E01006323",50,30,20
"Wigan 033B","E01006324",35,20,10
"Wigan 033C","E01006325",30,15,15
"Wigan 033D","E01006326",35,25,10
"Wigan 033E","E01006327",50,25,25
"Wigan 034A","E01006246",45,25,15
"Wigan 034B","E01006247",15,10,5
"Wigan 034C","E01006252",10,5,5
"Wigan 034D","E01006297",55,35,15
"Wigan 034E","E01006335",40,30,15
"Wigan 035A","E01006220",35,25,10
"Wigan 035B","E01006221",20,10,5
"Wigan 035C","E01006222",15,5,10
"Wigan 035D","E01006224",10,5,10
"Wigan 035E","E01006226",15,10,5
"Wigan 036A","E01006223",25,20,5
"Wigan 036B","E01006225",15,10,5
"Wigan 036C","E01006261",15,10,5
"Wigan 036D","E01006264",5,5,5
"Wigan 036E","E01006265",20,10,10
"Wigan 037A","E01006296",55,35,20
"Wigan 037B","E01006298",45,25,20
"Wigan 037C","E01006299",10,5,10
"Wigan 037D","E01006300",5,5,0
"Wigan 037E","E01006301",5,5,0
"Wigan 038A","E01006227",10,5,5
"Wigan 038B","E01006228",30,15,15
"Wigan 038C","E01006342",25,15,10
"Wigan 038D","E01006344",25,10,15
"Wigan 038E","E01006346",25,15,10
"Wigan 039A","E01006339",5,5,0
"Wigan 039B","E01006340",20,15,5
"Wigan 039C","E01006343",10,10,0
"Wigan 039D","E01006345",10,5,5
"Wigan 039E","E01006348",0,0,0
"Wigan 040A","E01006302",20,10,5
"Wigan 040B","E01006303",20,10,10
"Wigan 040C","E01006304",15,10,5
"Wigan 040D","E01006341",20,10,15
"Wigan 040E","E01006347",10,5,5
"Column Total","Column Total",46700,28440,18260



"","Under Universal Credit a broader span of claimants are required to look for"
"work than under Jobseeker's Allowance. As Universal Credit Full Service is","Under Universal Credit a broader span of claimants are required to look for"
"rolled out in particular areas, the number of people recorded as being on the","Under Universal Credit a broader span of claimants are required to look for"
"Claimant Count is therefore likely to rise.","Under Universal Credit a broader span of claimants are required to look for"
"","Under Universal Credit a broader span of claimants are required to look for"


"","All data are rounded to the nearest 5 and may not precisely add to the sum of"
"the number of people claiming JSA, published on Nomis, and the number of","All data are rounded to the nearest 5 and may not precisely add to the sum of"
"people claiming Universal Credit required to seek work, published by DWP, due to","All data are rounded to the nearest 5 and may not precisely add to the sum of"
"independent rounding.","All data are rounded to the nearest 5 and may not precisely add to the sum of"
"","All data are rounded to the nearest 5 and may not precisely add to the sum of"

