date,area_name,area_code,measure,value
2015-07-01,Greater Manchester,E47000001,Claimants as a proportion of residents aged 16-64,2.5
2015-07-01,Bolton,E08000001,Claimants as a proportion of residents aged 16-64,2.9
2015-07-01,Bury,E08000002,Claimants as a proportion of residents aged 16-64,2.4
2015-07-01,Manchester,E08000003,Claimants as a proportion of residents aged 16-64,2.7
2015-07-01,Oldham,E08000004,Claimants as a proportion of residents aged 16-64,2.9
2015-07-01,Rochdale,E08000005,Claimants as a proportion of residents aged 16-64,2.7
2015-07-01,Salford,E08000006,Claimants as a proportion of residents aged 16-64,2.6
2015-07-01,Stockport,E08000007,Claimants as a proportion of residents aged 16-64,1.9
2015-07-01,Tameside,E08000008,Claimants as a proportion of residents aged 16-64,2.6
2015-07-01,Trafford,E08000009,Claimants as a proportion of residents aged 16-64,1.6
2015-07-01,Wigan,E08000010,Claimants as a proportion of residents aged 16-64,2.5
2015-07-01,Astley Bridge,E05000650,Claimants as a proportion of residents aged 16-64,1.7
2015-07-01,Bradshaw,E05000651,Claimants as a proportion of residents aged 16-64,2.2
2015-07-01,Breightmet,E05000652,Claimants as a proportion of residents aged 16-64,4.1
2015-07-01,Bromley Cross,E05000653,Claimants as a proportion of residents aged 16-64,0.9
2015-07-01,Crompton,E05000654,Claimants as a proportion of residents aged 16-64,4
2015-07-01,Farnworth,E05000655,Claimants as a proportion of residents aged 16-64,4
2015-07-01,Great Lever,E05000656,Claimants as a proportion of residents aged 16-64,4.4
2015-07-01,Halliwell,E05000657,Claimants as a proportion of residents aged 16-64,6.1
2015-07-01,Harper Green,E05000658,Claimants as a proportion of residents aged 16-64,3.6
2015-07-01,Heaton and Lostock,E05000659,Claimants as a proportion of residents aged 16-64,0.8
2015-07-01,Horwich and Blackrod,E05000660,Claimants as a proportion of residents aged 16-64,1.5
2015-07-01,Horwich North East,E05000661,Claimants as a proportion of residents aged 16-64,1.6
2015-07-01,Hulton,E05000662,Claimants as a proportion of residents aged 16-64,2.4
2015-07-01,Kearsley,E05000663,Claimants as a proportion of residents aged 16-64,1.9
2015-07-01,Little Lever and Darcy Lever,E05000664,Claimants as a proportion of residents aged 16-64,2
2015-07-01,Rumworth,E05000665,Claimants as a proportion of residents aged 16-64,4.8
