Date,Geography,Measure Type,Unit,Industry category,Value
2017,E05000650,percent,persons,1,0
2017,E05000650,percent,persons,2,0.5
2017,E05000650,percent,persons,3,3.8
2017,E05000650,percent,persons,4,7.5
2017,E05000650,percent,persons,5,1.5
2017,E05000650,percent,persons,6,1.2
2017,E05000650,percent,persons,7,25
2017,E05000650,percent,persons,8,1.5
2017,E05000650,percent,persons,9,8.8
2017,E05000650,percent,persons,10,3.8
2017,E05000650,percent,persons,11,0.5
2017,E05000650,percent,persons,12,2.5
2017,E05000650,percent,persons,13,6.2
2017,E05000650,percent,persons,14,5
2017,E05000650,percent,persons,15,0
2017,E05000650,percent,persons,16,17.5
2017,E05000650,percent,persons,17,11.2
2017,E05000650,percent,persons,18,7.5
2017,E05000651,percent,persons,1,0
2017,E05000651,percent,persons,2,3.3
2017,E05000651,percent,persons,3,2.7
2017,E05000651,percent,persons,4,10
2017,E05000651,percent,persons,5,0.7
2017,E05000651,percent,persons,6,1.3
2017,E05000651,percent,persons,7,20
2017,E05000651,percent,persons,8,0.7
2017,E05000651,percent,persons,9,3
2017,E05000651,percent,persons,10,2
2017,E05000651,percent,persons,11,3.3
2017,E05000651,percent,persons,12,1.3
2017,E05000651,percent,persons,13,5
2017,E05000651,percent,persons,14,6.7
2017,E05000651,percent,persons,15,0
2017,E05000651,percent,persons,16,30
2017,E05000651,percent,persons,17,5
2017,E05000651,percent,persons,18,3
2017,E05000652,percent,persons,1,0
2017,E05000652,percent,persons,2,0.4
2017,E05000652,percent,persons,3,4.4
2017,E05000652,percent,persons,4,7.8
2017,E05000652,percent,persons,5,0.9
2017,E05000652,percent,persons,6,22.2
2017,E05000652,percent,persons,7,8.9
2017,E05000652,percent,persons,8,2
2017,E05000652,percent,persons,9,1.3
2017,E05000652,percent,persons,10,2.2
2017,E05000652,percent,persons,11,0.4
2017,E05000652,percent,persons,12,0.7
2017,E05000652,percent,persons,13,2.2
2017,E05000652,percent,persons,14,3.3
2017,E05000652,percent,persons,15,1.2
2017,E05000652,percent,persons,16,8.9
2017,E05000652,percent,persons,17,35.6
2017,E05000652,percent,persons,18,5.6
2017,E05000653,percent,persons,1,0
2017,E05000653,percent,persons,2,0
2017,E05000653,percent,persons,3,6
2017,E05000653,percent,persons,4,8
2017,E05000653,percent,persons,5,1.2
2017,E05000653,percent,persons,6,1.6
2017,E05000653,percent,persons,7,6
2017,E05000653,percent,persons,8,0.8
2017,E05000653,percent,persons,9,7
2017,E05000653,percent,persons,10,5
2017,E05000653,percent,persons,11,6
2017,E05000653,percent,persons,12,3
2017,E05000653,percent,persons,13,10
2017,E05000653,percent,persons,14,6
2017,E05000653,percent,persons,15,0
2017,E05000653,percent,persons,16,32
2017,E05000653,percent,persons,17,9
2017,E05000653,percent,persons,18,6
2017,E05000654,percent,persons,1,0.3
2017,E05000654,percent,persons,2,2
2017,E05000654,percent,persons,3,13.6
2017,E05000654,percent,persons,4,1.4
2017,E05000654,percent,persons,5,3.6
2017,E05000654,percent,persons,6,4.5
2017,E05000654,percent,persons,7,11.4
2017,E05000654,percent,persons,8,2.3
2017,E05000654,percent,persons,9,5.5
2017,E05000654,percent,persons,10,1.1
2017,E05000654,percent,persons,11,2.7
2017,E05000654,percent,persons,12,9.1
2017,E05000654,percent,persons,13,8.2
2017,E05000654,percent,persons,14,8.2
2017,E05000654,percent,persons,15,6.4
2017,E05000654,percent,persons,16,2.7
2017,E05000654,percent,persons,17,9.1
2017,E05000654,percent,persons,18,4.1
2017,E05000655,percent,persons,1,0
2017,E05000655,percent,persons,2,0.4
2017,E05000655,percent,persons,3,17.1
2017,E05000655,percent,persons,4,5
2017,E05000655,percent,persons,5,5
2017,E05000655,percent,persons,6,8.6
2017,E05000655,percent,persons,7,17.1
2017,E05000655,percent,persons,8,3.6
2017,E05000655,percent,persons,9,3.6
2017,E05000655,percent,persons,10,1.3
2017,E05000655,percent,persons,11,0.9
2017,E05000655,percent,persons,12,1.1
2017,E05000655,percent,persons,13,3.6
2017,E05000655,percent,persons,14,2.9
2017,E05000655,percent,persons,15,2.5
2017,E05000655,percent,persons,16,11.4
2017,E05000655,percent,persons,17,14.3
2017,E05000655,percent,persons,18,6.4
2017,E05000656,percent,persons,1,0
2017,E05000656,percent,persons,2,0.5
2017,E05000656,percent,persons,3,11.7
2017,E05000656,percent,persons,4,2
2017,E05000656,percent,persons,5,5.3
2017,E05000656,percent,persons,6,4
2017,E05000656,percent,persons,7,16.7
2017,E05000656,percent,persons,8,6
2017,E05000656,percent,persons,9,4
2017,E05000656,percent,persons,10,1.2
2017,E05000656,percent,persons,11,4.7
2017,E05000656,percent,persons,12,1.5
2017,E05000656,percent,persons,13,8.3
2017,E05000656,percent,persons,14,6.7
2017,E05000656,percent,persons,15,6.7
2017,E05000656,percent,persons,16,8.3
2017,E05000656,percent,persons,17,11.7
2017,E05000656,percent,persons,18,3
2017,E05000657,percent,persons,1,0
2017,E05000657,percent,persons,2,0.4
2017,E05000657,percent,persons,3,6.4
2017,E05000657,percent,persons,4,2
2017,E05000657,percent,persons,5,1.1
2017,E05000657,percent,persons,6,2.7
2017,E05000657,percent,persons,7,9.1
2017,E05000657,percent,persons,8,3.6
2017,E05000657,percent,persons,9,3.2
2017,E05000657,percent,persons,10,3.6
2017,E05000657,percent,persons,11,3.6
2017,E05000657,percent,persons,12,2.7
2017,E05000657,percent,persons,13,11.4
2017,E05000657,percent,persons,14,6.4
2017,E05000657,percent,persons,15,15.9
2017,E05000657,percent,persons,16,8.2
2017,E05000657,percent,persons,17,13.6
2017,E05000657,percent,persons,18,7.3
2017,E05000658,percent,persons,1,0
2017,E05000658,percent,persons,2,0.6
2017,E05000658,percent,persons,3,0.3
2017,E05000658,percent,persons,4,0.6
2017,E05000658,percent,persons,5,0.1
2017,E05000658,percent,persons,6,0.1
2017,E05000658,percent,persons,7,1.8
2017,E05000658,percent,persons,8,0.3
2017,E05000658,percent,persons,9,0.4
2017,E05000658,percent,persons,10,0.2
2017,E05000658,percent,persons,11,0
2017,E05000658,percent,persons,12,0.2
2017,E05000658,percent,persons,13,0.5
2017,E05000658,percent,persons,14,7.5
2017,E05000658,percent,persons,15,0.5
2017,E05000658,percent,persons,16,7.1
2017,E05000658,percent,persons,17,71.4
2017,E05000658,percent,persons,18,0.5
2017,E05000659,percent,persons,1,0
2017,E05000659,percent,persons,2,8
2017,E05000659,percent,persons,3,15
2017,E05000659,percent,persons,4,4.5
2017,E05000659,percent,persons,5,0.1
2017,E05000659,percent,persons,6,3
2017,E05000659,percent,persons,7,7
2017,E05000659,percent,persons,8,0.8
2017,E05000659,percent,persons,9,6
2017,E05000659,percent,persons,10,1
2017,E05000659,percent,persons,11,8
2017,E05000659,percent,persons,12,6
2017,E05000659,percent,persons,13,12.5
2017,E05000659,percent,persons,14,2.5
2017,E05000659,percent,persons,15,0
2017,E05000659,percent,persons,16,6
2017,E05000659,percent,persons,17,9
2017,E05000659,percent,persons,18,8
2017,E05000660,percent,persons,1,0
2017,E05000660,percent,persons,2,2
2017,E05000660,percent,persons,3,11.4
2017,E05000660,percent,persons,4,5.5
2017,E05000660,percent,persons,5,3.2
2017,E05000660,percent,persons,6,6.4
2017,E05000660,percent,persons,7,18.2
2017,E05000660,percent,persons,8,3.6
2017,E05000660,percent,persons,9,7.3
2017,E05000660,percent,persons,10,6.4
2017,E05000660,percent,persons,11,6.4
2017,E05000660,percent,persons,12,0.7
2017,E05000660,percent,persons,13,8.2
2017,E05000660,percent,persons,14,9.1
2017,E05000660,percent,persons,15,0.1
2017,E05000660,percent,persons,16,2.7
2017,E05000660,percent,persons,17,7.3
2017,E05000660,percent,persons,18,3.2
2017,E05000661,percent,persons,1,0
2017,E05000661,percent,persons,2,5
2017,E05000661,percent,persons,3,5
2017,E05000661,percent,persons,4,5
2017,E05000661,percent,persons,5,3
2017,E05000661,percent,persons,6,2.3
2017,E05000661,percent,persons,7,10
2017,E05000661,percent,persons,8,2.7
2017,E05000661,percent,persons,9,11.7
2017,E05000661,percent,persons,10,3
2017,E05000661,percent,persons,11,0.3
2017,E05000661,percent,persons,12,1
2017,E05000661,percent,persons,13,8.3
2017,E05000661,percent,persons,14,5
2017,E05000661,percent,persons,15,3.3
2017,E05000661,percent,persons,16,5
2017,E05000661,percent,persons,17,16.7
2017,E05000661,percent,persons,18,6.7
2017,E05000662,percent,persons,1,0
2017,E05000662,percent,persons,2,1
2017,E05000662,percent,persons,3,6.7
2017,E05000662,percent,persons,4,20
2017,E05000662,percent,persons,5,0.3
2017,E05000662,percent,persons,6,4.2
2017,E05000662,percent,persons,7,7.5
2017,E05000662,percent,persons,8,26.7
2017,E05000662,percent,persons,9,3.3
2017,E05000662,percent,persons,10,1.3
2017,E05000662,percent,persons,11,0.2
2017,E05000662,percent,persons,12,1.2
2017,E05000662,percent,persons,13,5
2017,E05000662,percent,persons,14,8.3
2017,E05000662,percent,persons,15,0.3
2017,E05000662,percent,persons,16,5
2017,E05000662,percent,persons,17,8.3
2017,E05000662,percent,persons,18,2.5
2017,E05000663,percent,persons,1,0
2017,E05000663,percent,persons,2,2.5
2017,E05000663,percent,persons,3,18
2017,E05000663,percent,persons,4,12
2017,E05000663,percent,persons,5,2.5
2017,E05000663,percent,persons,6,12
2017,E05000663,percent,persons,7,7
