"lsoa11cd","lsoa11nm","measure","value"
"E01004768","Bolton 001A","Households with lone parent not in employment",4
"E01004803","Bolton 001B","Households with lone parent not in employment",5
"E01004804","Bolton 001C","Households with lone parent not in employment",2
"E01004807","Bolton 001D","Households with lone parent not in employment",5
"E01004808","Bolton 001E","Households with lone parent not in employment",6
"E01004788","Bolton 002A","Households with lone parent not in employment",3
"E01004790","Bolton 002B","Households with lone parent not in employment",10
"E01004805","Bolton 002C","Households with lone parent not in employment",8
"E01004806","Bolton 002D","Households with lone parent not in employment",4
"E01004810","Bolton 002E","Households with lone parent not in employment",8
"E01004769","Bolton 003A","Households with lone parent not in employment",0
"E01004770","Bolton 003B","Households with lone parent not in employment",2
"E01004771","Bolton 003C","Households with lone parent not in employment",2
"E01004773","Bolton 003D","Households with lone parent not in employment",10
"E01004809","Bolton 003E","Households with lone parent not in employment",17
"E01004777","Bolton 004A","Households with lone parent not in employment",21
"E01004881","Bolton 004B","Households with lone parent not in employment",15
"E01004888","Bolton 004C","Households with lone parent not in employment",12
"E01004889","Bolton 004D","Households with lone parent not in employment",22
"E01004890","Bolton 004E","Households with lone parent not in employment",11
"E01004766","Bolton 005A","Households with lone parent not in employment",18
"E01004767","Bolton 005B","Households with lone parent not in employment",10
"E01004772","Bolton 005C","Households with lone parent not in employment",44
"E01004774","Bolton 005D","Households with lone parent not in employment",29
"E01004824","Bolton 005E","Households with lone parent not in employment",13
"E01004784","Bolton 006A","Households with lone parent not in employment",1
"E01004785","Bolton 006B","Households with lone parent not in employment",12
"E01004786","Bolton 006C","Households with lone parent not in employment",7
"E01004789","Bolton 006D","Households with lone parent not in employment",4
"E01004791","Bolton 006E","Households with lone parent not in employment",2
"E01004792","Bolton 006F","Households with lone parent not in employment",1
"E01004779","Bolton 007A","Households with lone parent not in employment",14
"E01004781","Bolton 007B","Households with lone parent not in employment",18
"E01004882","Bolton 007C","Households with lone parent not in employment",9
"E01004883","Bolton 007D","Households with lone parent not in employment",8
"E01004884","Bolton 007E","Households with lone parent not in employment",1
"E01004864","Bolton 008A","Households with lone parent not in employment",9
"E01004867","Bolton 008B","Households with lone parent not in employment",27
"E01004921","Bolton 008C","Households with lone parent not in employment",17
"E01004924","Bolton 008D","Households with lone parent not in employment",4
"E01004925","Bolton 008E","Households with lone parent not in employment",4
"E01004778","Bolton 009A","Households with lone parent not in employment",1
"E01004780","Bolton 009B","Households with lone parent not in employment",10
"E01004782","Bolton 009C","Households with lone parent not in employment",6
"E01004783","Bolton 009D","Households with lone parent not in employment",4
"E01004802","Bolton 010A","Households with lone parent not in employment",57
"E01004926","Bolton 010B","Households with lone parent not in employment",47
"E01004927","Bolton 010C","Households with lone parent not in employment",63
"E01004929","Bolton 010D","Households with lone parent not in employment",31
"E01004820","Bolton 011A","Households with lone parent not in employment",40
"E01004825","Bolton 011B","Households with lone parent not in employment",30
"E01004826","Bolton 011C","Households with lone parent not in employment",42
"E01004865","Bolton 011D","Households with lone parent not in employment",11
"E01004866","Bolton 011E","Households with lone parent not in employment",43
"E01004840","Bolton 012A","Households with lone parent not in employment",15
"E01004841","Bolton 012B","Households with lone parent not in employment",46
"E01004842","Bolton 012C","Households with lone parent not in employment",5
"E01004919","Bolton 012D","Households with lone parent not in employment",10
"E01004920","Bolton 012E","Households with lone parent not in employment",28
"E01004787","Bolton 013A","Households with lone parent not in employment",54
"E01004793","Bolton 013B","Households with lone parent not in employment",43
"E01004794","Bolton 013C","Households with lone parent not in employment",66
"E01004795","Bolton 013D","Households with lone parent not in employment",26
"E01004797","Bolton 013E","Households with lone parent not in employment",40
"E01004775","Bolton 014A","Households with lone parent not in employment",4
"E01004885","Bolton 014B","Households with lone parent not in employment",3
"E01004886","Bolton 014C","Households with lone parent not in employment",24
"E01004887","Bolton 014D","Households with lone parent not in employment",18
"E01004868","Bolton 015A","Households with lone parent not in employment",34
"E01004869","Bolton 015B","Households with lone parent not in employment",52
"E01004870","Bolton 015C","Households with lone parent not in employment",15
"E01004871","Bolton 015D","Households with lone parent not in employment",35
"E01004922","Bolton 015E","Households with lone parent not in employment",31
"E01004822","Bolton 016B","Households with lone parent not in employment",30
"E01004823","Bolton 016C","Households with lone parent not in employment",47
"E01004848","Bolton 016D","Households with lone parent not in employment",38
"E01033217","Bolton 016E","Households with lone parent not in employment",14
"E01033220","Bolton 016F","Households with lone parent not in employment",27
"E01004818","Bolton 017A","Households with lone parent not in employment",18
"E01004819","Bolton 017B","Households with lone parent not in employment",11
"E01004928","Bolton 017C","Households with lone parent not in employment",37
"E01004930","Bolton 017D","Households with lone parent not in employment",17
"E01004931","Bolton 017E","Households with lone parent not in employment",31
"E01004932","Bolton 017F","Households with lone parent not in employment",18
"E01004834","Bolton 018A","Households with lone parent not in employment",19
"E01004838","Bolton 018B","Households with lone parent not in employment",39
"E01004843","Bolton 018C","Households with lone parent not in employment",3
"E01004845","Bolton 018D","Households with lone parent not in employment",5
"E01004923","Bolton 018E","Households with lone parent not in employment",13
"E01004796","Bolton 019A","Households with lone parent not in employment",14
"E01004798","Bolton 019B","Households with lone parent not in employment",39
"E01004799","Bolton 019C","Households with lone parent not in employment",7
"E01004800","Bolton 019D","Households with lone parent not in employment",4
"E01004801","Bolton 019E","Households with lone parent not in employment",70
"E01004917","Bolton 019F","Households with lone parent not in employment",44
"E01004835","Bolton 020A","Households with lone parent not in employment",2
"E01004836","Bolton 020B","Households with lone parent not in employment",4
"E01004837","Bolton 020C","Households with lone parent not in employment",2
"E01004844","Bolton 020D","Households with lone parent not in employment",4
"E01004897","Bolton 020E","Households with lone parent not in employment",9
"E01004827","Bolton 021A","Households with lone parent not in employment",41
"E01004849","Bolton 021B","Households with lone parent not in employment",24
"E01004850","Bolton 021C","Households with lone parent not in employment",39
"E01004851","Bolton 021D","Households with lone parent not in employment",17
"E01004853","Bolton 021E","Households with lone parent not in employment",32
"E01004811","Bolton 022A","Households with lone parent not in employment",40
"E01004812","Bolton 022B","Households with lone parent not in employment",30
"E01004813","Bolton 022C","Households with lone parent not in employment",27
"E01004815","Bolton 022D","Households with lone parent not in employment",28
"E01004817","Bolton 022E","Households with lone parent not in employment",15
"E01004828","Bolton 023A","Households with lone parent not in employment",35
"E01004829","Bolton 023B","Households with lone parent not in employment",17
"E01004832","Bolton 023C","Households with lone parent not in employment",23
"E01004854","Bolton 023D","Households with lone parent not in employment",19
"E01004878","Bolton 023E","Households with lone parent not in employment",14
"E01004911","Bolton 024A","Households with lone parent not in employment",22
"E01004912","Bolton 024B","Households with lone parent not in employment",5
"E01004913","Bolton 024C","Households with lone parent not in employment",23
"E01004914","Bolton 024D","Households with lone parent not in employment",6
"E01004915","Bolton 024E","Households with lone parent not in employment",9
"E01004916","Bolton 024F","Households with lone parent not in employment",18
"E01004918","Bolton 024G","Households with lone parent not in employment",2
"E01004846","Bolton 025A","Households with lone parent not in employment",29
"E01004847","Bolton 025B","Households with lone parent not in employment",59
"E01004852","Bolton 025C","Households with lone parent not in employment",17
"E01004877","Bolton 025D","Households with lone parent not in employment",48
"E01004879","Bolton 025E","Households with lone parent not in employment",33
"E01004830","Bolton 026A","Households with lone parent not in employment",28
"E01004831","Bolton 026B","Households with lone parent not in employment",10
"E01004833","Bolton 026C","Households with lone parent not in employment",6
"E01004839","Bolton 026D","Households with lone parent not in employment",46
"E01004814","Bolton 027A","Households with lone parent not in employment",29
"E01004855","Bolton 027B","Households with lone parent not in employment",30
