"date","area_code","area_name","measure","value"
2014-01-01,"E47000001","Greater Manchester","Claimants as a proportion of residents aged 16-64",3.8
2014-01-01,"E08000001","Bolton","Claimants as a proportion of residents aged 16-64",4.3
2014-01-01,"E08000002","Bury","Claimants as a proportion of residents aged 16-64",3.3
2014-01-01,"E08000003","Manchester","Claimants as a proportion of residents aged 16-64",4.4
2014-01-01,"E08000004","Oldham","Claimants as a proportion of residents aged 16-64",4.2
2014-01-01,"E08000005","Rochdale","Claimants as a proportion of residents aged 16-64",4
2014-01-01,"E08000006","Salford","Claimants as a proportion of residents aged 16-64",4
2014-01-01,"E08000007","Stockport","Claimants as a proportion of residents aged 16-64",2.9
2014-01-01,"E08000008","Tameside","Claimants as a proportion of residents aged 16-64",4
2014-01-01,"E08000009","Trafford","Claimants as a proportion of residents aged 16-64",2.4
2014-01-01,"E08000010","Wigan","Claimants as a proportion of residents aged 16-64",3.8
2014-01-01,"E05000650","Astley Bridge (Bolton)","Claimants as a proportion of residents aged 16-64",2.2
2014-01-01,"E05000651","Bradshaw (Bolton)","Claimants as a proportion of residents aged 16-64",3
2014-01-01,"E05000652","Breightmet (Bolton)","Claimants as a proportion of residents aged 16-64",5.1
2014-01-01,"E05000653","Bromley Cross (Bolton)","Claimants as a proportion of residents aged 16-64",1.3
2014-01-01,"E05000654","Crompton (Bolton)","Claimants as a proportion of residents aged 16-64",6.3
2014-01-01,"E05000655","Farnworth (Bolton)","Claimants as a proportion of residents aged 16-64",6.3
2014-01-01,"E05000656","Great Lever (Bolton)","Claimants as a proportion of residents aged 16-64",6.9
2014-01-01,"E05000657","Halliwell (Bolton)","Claimants as a proportion of residents aged 16-64",9
2014-01-01,"E05000658","Harper Green (Bolton)","Claimants as a proportion of residents aged 16-64",4.9
2014-01-01,"E05000659","Heaton and Lostock (Bolton)","Claimants as a proportion of residents aged 16-64",1.4
2014-01-01,"E05000661","Horwich North East (Bolton)","Claimants as a proportion of residents aged 16-64",2.8
2014-01-01,"E05000660","Horwich and Blackrod (Bolton)","Claimants as a proportion of residents aged 16-64",2.1
2014-01-01,"E05000662","Hulton (Bolton)","Claimants as a proportion of residents aged 16-64",3.8
2014-01-01,"E05000663","Kearsley (Bolton)","Claimants as a proportion of residents aged 16-64",3.3
2014-01-01,"E05000664","Little Lever and Darcy Lever (Bolton)","Claimants as a proportion of residents aged 16-64",2.7
2014-01-01,"E05000665","Rumworth (Bolton)","Claimants as a proportion of residents aged 16-64",7.6
2014-01-01,"E05000666","Smithills (Bolton)","Claimants as a proportion of residents aged 16-64",4
2014-01-01,"E05000667","Tonge with the Haulgh (Bolton)","Claimants as a proportion of residents aged 16-64",6
2014-01-01,"E05000668","Westhoughton North and Chew Moor (Bolton)","Claimants as a proportion of residents aged 16-64",1.5
2014-01-01,"E05000669","Westhoughton South (Bolton)","Claimants as a proportion of residents aged 16-64",2.5
2014-01-01,"E05000670","Besses (Bury)","Claimants as a proportion of residents aged 16-64",4.5
2014-01-01,"E05000671","Church (Bury)","Claimants as a proportion of residents aged 16-64",2.5
2014-01-01,"E05000672","East (Bury)","Claimants as a proportion of residents aged 16-64",6.2
2014-01-01,"E05000673","Elton (Bury)","Claimants as a proportion of residents aged 16-64",2.7
2014-01-01,"E05000674","Holyrood (Bury)","Claimants as a proportion of residents aged 16-64",3
2014-01-01,"E05000675","Moorside (Bury)","Claimants as a proportion of residents aged 16-64",6
2014-01-01,"E05000676","North Manor (Bury)","Claimants as a proportion of residents aged 16-64",0.9
2014-01-01,"E05000677","Pilkington Park (Bury)","Claimants as a proportion of residents aged 16-64",1.9
2014-01-01,"E05000678","Radcliffe East (Bury)","Claimants as a proportion of residents aged 16-64",4.3
2014-01-01,"E05000679","Radcliffe North (Bury)","Claimants as a proportion of residents aged 16-64",2.6
2014-01-01,"E05000680","Radcliffe West (Bury)","Claimants as a proportion of residents aged 16-64",4.1
2014-01-01,"E05000681","Ramsbottom (Bury)","Claimants as a proportion of residents aged 16-64",2
2014-01-01,"E05000682","Redvales (Bury)","Claimants as a proportion of residents aged 16-64",4
2014-01-01,"E05000684","Sedgley (Bury)","Claimants as a proportion of residents aged 16-64",2.7
2014-01-01,"E05000683","St Mary's (Bury)","Claimants as a proportion of residents aged 16-64",3.5
2014-01-01,"E05000685","Tottington (Bury)","Claimants as a proportion of residents aged 16-64",1.7
2014-01-01,"E05000686","Unsworth (Bury)","Claimants as a proportion of residents aged 16-64",2.6
2014-01-01,"E05000687","Ancoats and Clayton (Manchester)","Claimants as a proportion of residents aged 16-64",3.7
2014-01-01,"E05000688","Ardwick (Manchester)","Claimants as a proportion of residents aged 16-64",4.8
2014-01-01,"E05000689","Baguley (Manchester)","Claimants as a proportion of residents aged 16-64",5.9
2014-01-01,"E05000690","Bradford (Manchester)","Claimants as a proportion of residents aged 16-64",5.3
2014-01-01,"E05000691","Brooklands (Manchester)","Claimants as a proportion of residents aged 16-64",4.6
2014-01-01,"E05000692","Burnage (Manchester)","Claimants as a proportion of residents aged 16-64",3.8
2014-01-01,"E05000693","Charlestown (Manchester)","Claimants as a proportion of residents aged 16-64",5.1
2014-01-01,"E05000694","Cheetham (Manchester)","Claimants as a proportion of residents aged 16-64",4.2
2014-01-01,"E05000695","Chorlton (Manchester)","Claimants as a proportion of residents aged 16-64",1.8
2014-01-01,"E05000696","Chorlton Park (Manchester)","Claimants as a proportion of residents aged 16-64",2.9
2014-01-01,"E05000697","City Centre (Manchester)","Claimants as a proportion of residents aged 16-64",0.6
2014-01-01,"E05000698","Crumpsall (Manchester)","Claimants as a proportion of residents aged 16-64",5.9
2014-01-01,"E05000699","Didsbury East (Manchester)","Claimants as a proportion of residents aged 16-64",1.8
2014-01-01,"E05000700","Didsbury West (Manchester)","Claimants as a proportion of residents aged 16-64",2
2014-01-01,"E05000701","Fallowfield (Manchester)","Claimants as a proportion of residents aged 16-64",3.2
2014-01-01,"E05000702","Gorton North (Manchester)","Claimants as a proportion of residents aged 16-64",6.3
2014-01-01,"E05000703","Gorton South (Manchester)","Claimants as a proportion of residents aged 16-64",5.1
