service,name,address,postcode,type,email,website
Oldham,Chadderton Library and Wellbeing Centre,"Burnley Street, Chadderton, Oldham",OL9 0JW,Local authority run library,chadderton.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library
Oldham,Crompton Library,"Farrow Street East, Shaw, Oldham",OL2 8QY,Local authority run library,crompton.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library
Oldham,Delph Library,"Millgate, Delph, Oldham",OL3 5JG,Community run library,delph.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library
Oldham,Failsworth Library,"Town Hall, Oldham Road, Failsworth",M35 0FJ,Local authority run library,failsworth.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library
Oldham,Fitton Hill Library,"Fitton Hill Neighbourhood Centre, Fircroft Road, Fitton Hill, Oldham",OL8 2QD,Local authority run library,fittonhill.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library
Oldham,Greenfield Library,"Chew Vale, Greenfield, Oldham",OL3 7EQ,Local authority run library,greenfield.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library
Oldham,Lees Library Community Hub,"Thomas Street, Lees, Oldham",OL4 5DA,Local authority run library,lees.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library
Oldham,Limehurst Library,"St Chad's Centre, Lime Green Parade, Limeside, Oldham",OL8 3HH,Local authority run library,limehurst.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library
Oldham,Northmoor Library,"Chadderton Way, Oldham",OL9 6DH,Local authority run library,northmoor.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library
Oldham,Oldham Library and Lifelong Learning Centre,"Greaves Street, Oldham",OL1 1AL,Local authority run library,oldham.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library
Oldham,Royton Library,"Rochdale Road, Royton, Oldham",OL2 6QJ,Local authority run library,royton.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library
Oldham,Uppermill Library,"St Chad's, High Street, Uppermill, Oldham",OL3 6AP,Local authority run library,uppermill.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library
