service,name,address,postcode,type,email,website
Tameside,Denton,"Town Hall, Market Street, Denton",M34 2AP,Local authority run library,denton.library@tameside.gov.uk,http://www.tameside.gov.uk/libraries
Tameside,Denton West End,NA,M34 2HB,Independent community library,NA,NA
Tameside,Droylsden,"Manchester Road, Droylsden",M43 6EP,Local authority run library,droylsden.library@tameside.gov.uk,http://www.tameside.gov.uk/libraries
Tameside,Dukinfield,"Concord way, Dukinfield",SK16 4DB,Local authority run library,dukinfield.library@tameside.gov.uk,http://www.tameside.gov.uk/libraries
Tameside,Hattersley,"The Hub, Stockport Road, Hattersley",SK14 6NT,Local authority run library,hattersley.library@tameside.gov.uk,http://www.tameside.gov.uk/libraries
Tameside,Hyde,"Town Hall, Greenfield Street, Hyde",SK14 1AL,Local authority run library,hyde.library@tameside.gov.uk,http://www.tameside.gov.uk/libraries
Tameside,Mossley,"George Lawton Hall, Stamford Street, Mossley",OL5 0HR,Local authority run library,mossley.library@tameside.gov.uk,http://www.tameside.gov.uk/libraries
Tameside,Ryecroft,"Ryecroft Hall, Manchester Road, Audenshaw",M34 5GJ,Local authority run library,NA,NA
Tameside,Stalybridge,"Trinity Street, Stalybridge",SK15 2BN,Local authority run library,stalybridge.library@tameside.gov.uk,http://www.tameside.gov.uk/libraries
Tameside,Tameside Central,"Old Street, Ashton-under-Lyne.",OL6 7SG,Local authority run library,central.library@tameside.gov.uk,http://www.tameside.gov.uk/libraries
