service,name,address,postcode,type,email,website
Trafford,Altrincham,"20 Stamford New Road, Altrincham",WA14 1EJ,Local authority run library,Altrincham.Library@trafford.gov.uk,www.trafford.gov.uk/libraries
Trafford,Coppice,"Coppice Avenue, Sale",M33 4ND,Community run library,Coppice.Library@trafford.gov.uk,www.trafford.gov.uk/libraries
Trafford,Hale,"Leigh Road, Hale",WA15 9BG,Community run library,Hale.Library@trafford.gov.uk,www.trafford.gov.uk/libraries
Trafford,Lostock,"Selby Road, Lostock",M32 9PL,Community run library,Lostock.Library@trafford.gov.uk,www.trafford.gov.uk/libraries
Trafford,Old Trafford,"Old Trafford Youth Centre, St Hilda's Road, Old Trafford",M16 9PQ,Local authority run library,OldTrafford.Library@trafford.gov.uk,www.trafford.gov.uk/libraries
Trafford,Partington,"91 Central Road, Partington",M31 4FY,Local authority run library,Partington.Library@trafford.gov.uk,www.trafford.gov.uk/libraries
Trafford,Sale,"Sale Waterside, Sale",M33 7ZF,Local authority run library,Sale.Library@trafford.gov.uk,www.trafford.gov.uk/libraries
Trafford,Stretford,"Kingsway, Stretford",M32 8AP,Local authority run library,Stretford.Library@trafford.gov.uk,www.trafford.gov.uk/libraries
Trafford,Timperley,"405 Stockport Road, Timperley",WA15 7XR,Local authority run library,timperley.library@trafford.gov.uk,www.trafford.gov.uk/libraries
Trafford,Trafford Town Hall,"Talbot Road, Stretford",M32 0TH,Local authority run library,townhall.library@trafford.gov.uk,www.trafford.gov.uk/libraries
Trafford,Urmston,"Unit 34 Golden Way, Urmston",M41 0NA,Local authority run library,urmston.library@trafford.gov.uk,www.trafford.gov.uk/libraries
Trafford,Woodsend,"Woodsend Road, Flixton",M41 8GN,Local authority run library,Woodsend.Library@trafford.gov.uk,www.trafford.gov.uk/libraries
