service,name,address,postcode,type,email,website
Bolton,Blackrod Library,"Blackrod Library, Church Street, Blackrod, Bolton",BL6 5EQ,Local authority run library,blackrod.library@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/Blackrodlibrary.aspx
Bolton,Bolton Central Library,"Bolton Library and Museum Services, Central Library, Le Mans Crescent, Bolton",BL1 1SE,Local authority run library,central.library@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/CentralLibrary.aspx
Bolton,Breightmet Library,"Breightmet Library, Breightmet Health Centre, Breightmet Fold Lane, Bolton",BL2 6NT,Local authority run library,breightmet.library@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/BreightmetLibrary.aspx
Bolton,Bromley Cross Library,"Bromley Cross Library, The Crescent, Bromley Cross, Bolton",BL7 9JU,Local authority run library,bromley.cross.library@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/BromleyCrossLibrary.aspx
Bolton,Farnworth Library,"Farnworth Library, Market Street, Farnworth, Bolton",BL4 7PG,Local authority run library,farnworth.library@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/FarnworthLibrary.aspx
Bolton,Halliwell UCAN neighbourhood collection,"Halliwell UCAN, Hatfield Road, Bolton",BL1 3BU,Local authority run library,halliwell.ucan@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/Neighbourhoodcollections.aspx
Bolton,Harwood Library,"Harwood Library, Gate Fold, Harwood, Bolton",BL2 3HN,Local authority run library,harwood.library@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/HarwoodLibrary.aspx
Bolton,Heaton neighbourhood collection,"Heaton Children's Centre, New Hall Lane, Bolton",BL1 5LF,Local authority run library,heatonandlostockchildrenscentre@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/HeatonandLostockChildrensCentre.aspx
Bolton,High Street Library,"High Street Library, High Street, Bolton",BL3 6SZ,Local authority run library,high.street.library@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/HighStreetLibrary.aspx
Bolton,Highfield neighbourhood collection (The Orchards),"Highfield (The Orchards), Highfield Road, Bolton",BL4 0RN,Local authority run library,orchards@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/OrchardsChildrensCentre.aspx
Bolton,Horwich Library,"Horwich Library, Jones Street, Horwich, Bolton",BL6 7AJ,Local authority run library,horwich.library@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/HorwichLibrary.aspx
Bolton,Little Lever Library,"Little Lever Library, Coronation Square, Little Lever, Bolton",BL3 1LP,Local authority run library,littlelever.library@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/LittleLeverLibrary.aspx
Bolton,Oldhams neighbourhood collection,"Oldhams Children's Centre, Forfar Street, Bolton",BL1 6RN,Local authority run library,oldhamschildrenscentre@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/OldhamsChildrensCentre.aspx
Bolton,Tonge UCAN neighbourhood collection,"Tonge UCAN, Tonge Moor Road, Bolton",BL2 2LE,Local authority run library,tonge.ucancentre@boltonathome.org.uk,http://www.bolton.gov.uk/website/pages/Neighbourhoodcollections.aspx
Bolton,Westhoughton Library,"Westhoughton Library, Library Street, Westhoughton, Bolton",BL5 3AT,Local authority run library,westhoughton.library@bolton.gov.uk,http://www.bolton.gov.uk/website/pages/WesthoughtonLibrary.aspx
