service,name,address,postcode,type,email,website
Bury,Ainsworth Library,"Church Street, Ainsworth",BL2 5RT,Local authority run library,ainsworth.lib@bury.gov.uk,www.bury.gov.uk/libraries
Bury,Brandlesholme Community Centre and Library,"Brandlesholme Road, Bury",BL8 1HS,Local authority run library,brandlesholme.lib@bury.gov.uk,www.bury.gov.uk/libraries
Bury,Bury Library,"Manchester Road, Bury",BL9 0DG,Local authority run library,bury.lib@bury.gov.uk,www.bury.gov.uk/libraries
Bury,Castle Leisure Centre Library,"Bolton Street, Bury",BL9 0EZ,Local authority run library,castle.lib@bury.gov.uk,www.bury.gov.uk/libraries
Bury,Coronation Road Community Centre and Library,"Westminster Avenue, Bury",M26 3WD,Local authority run library,coronation.lib@bury.gov.uk,www.bury.gov.uk/libraries
Bury,Dumers Lane Community Centre and Library,"245 Dumers Lane, Radcliffe",M26 2GN,Local authority run library,dumers.lib@bury.gov.uk,www.bury.gov.uk/libraries
Bury,Moorside Community Centre and Library,"Parkinson Street, Bury",BL9 6NY,Local authority run library,moorside.lib@bury.gov.uk,www.bury.gov.uk/libraries
Bury,Prestwich Library and Adult Learning Centre,"Longfield Centre, Prestwich",M25 1AY,Local authority run library,prestwich.lib@bury.gov.uk,www.bury.gov.uk/libraries
Bury,Radcliffe Library,"Stand Lane, Radcliffe",M26 1NW,Local authority run library,radcliffe.lib@bury.gov.uk,www.bury.gov.uk/libraries
Bury,Ramsbottom Library and Adult Learning Centre,"Carr Street, Ramsbottom",BL0 9AE,Local authority run library,ramsbottom.lib@bury.gov.uk,www.bury.gov.uk/libraries
Bury,Topping Fold Community Centre and Library,"36 Topping Fold Road, Bury",BL9 7NG,Local authority run library,topping.lib@bury.gov.uk,www.bury.gov.uk/libraries
Bury,Tottington Library,"Market Street, Tottington",BL8 3LL,Local authority run library,tottington.lib@bury.gov.uk,www.bury.gov.uk/libraries
Bury,Unsworth Library,"Sunnybank Road Unsworth, Bury",BL9 8ED,Local authority run library,unsworth.lib@bury.gov.uk,www.bury.gov.uk/libraries
Bury,Whitefield Library and Adult Learning Centre,"Pinfold Lane, Whitefield",M45 7NY,Local authority run library,whitefield.lib@bury.gov.uk,www.bury.gov.uk/libraries
