date,lsoa11nm,lsoa11cd,lad17nm,measure,value
2011-03-27,Bolton 001A,E01004768,Bolton,Households with lone parent not in employment,4
2011-03-27,Bolton 001B,E01004803,Bolton,Households with lone parent not in employment,5
2011-03-27,Bolton 001C,E01004804,Bolton,Households with lone parent not in employment,2
2011-03-27,Bolton 001D,E01004807,Bolton,Households with lone parent not in employment,5
2011-03-27,Bolton 001E,E01004808,Bolton,Households with lone parent not in employment,6
2011-03-27,Bolton 002A,E01004788,Bolton,Households with lone parent not in employment,3
2011-03-27,Bolton 002B,E01004790,Bolton,Households with lone parent not in employment,10
2011-03-27,Bolton 002C,E01004805,Bolton,Households with lone parent not in employment,8
2011-03-27,Bolton 002D,E01004806,Bolton,Households with lone parent not in employment,4
2011-03-27,Bolton 002E,E01004810,Bolton,Households with lone parent not in employment,8
2011-03-27,Bolton 003A,E01004769,Bolton,Households with lone parent not in employment,0
2011-03-27,Bolton 003B,E01004770,Bolton,Households with lone parent not in employment,2
2011-03-27,Bolton 003C,E01004771,Bolton,Households with lone parent not in employment,2
2011-03-27,Bolton 003D,E01004773,Bolton,Households with lone parent not in employment,10
2011-03-27,Bolton 003E,E01004809,Bolton,Households with lone parent not in employment,17
2011-03-27,Bolton 004A,E01004777,Bolton,Households with lone parent not in employment,21
2011-03-27,Bolton 004B,E01004881,Bolton,Households with lone parent not in employment,15
2011-03-27,Bolton 004C,E01004888,Bolton,Households with lone parent not in employment,12
2011-03-27,Bolton 004D,E01004889,Bolton,Households with lone parent not in employment,22
2011-03-27,Bolton 004E,E01004890,Bolton,Households with lone parent not in employment,11
2011-03-27,Bolton 005A,E01004766,Bolton,Households with lone parent not in employment,18
2011-03-27,Bolton 005B,E01004767,Bolton,Households with lone parent not in employment,10
2011-03-27,Bolton 005C,E01004772,Bolton,Households with lone parent not in employment,44
2011-03-27,Bolton 005D,E01004774,Bolton,Households with lone parent not in employment,29
2011-03-27,Bolton 005E,E01004824,Bolton,Households with lone parent not in employment,13
2011-03-27,Bolton 006A,E01004784,Bolton,Households with lone parent not in employment,1
2011-03-27,Bolton 006B,E01004785,Bolton,Households with lone parent not in employment,12
2011-03-27,Bolton 006C,E01004786,Bolton,Households with lone parent not in employment,7
2011-03-27,Bolton 006D,E01004789,Bolton,Households with lone parent not in employment,4
2011-03-27,Bolton 006E,E01004791,Bolton,Households with lone parent not in employment,2
2011-03-27,Bolton 006F,E01004792,Bolton,Households with lone parent not in employment,1
2011-03-27,Bolton 007A,E01004779,Bolton,Households with lone parent not in employment,14
2011-03-27,Bolton 007B,E01004781,Bolton,Households with lone parent not in employment,18
2011-03-27,Bolton 007C,E01004882,Bolton,Households with lone parent not in employment,9
2011-03-27,Bolton 007D,E01004883,Bolton,Households with lone parent not in employment,8
2011-03-27,Bolton 007E,E01004884,Bolton,Households with lone parent not in employment,1
2011-03-27,Bolton 008A,E01004864,Bolton,Households with lone parent not in employment,9
2011-03-27,Bolton 008B,E01004867,Bolton,Households with lone parent not in employment,27
2011-03-27,Bolton 008C,E01004921,Bolton,Households with lone parent not in employment,17
2011-03-27,Bolton 008D,E01004924,Bolton,Households with lone parent not in employment,4
2011-03-27,Bolton 008E,E01004925,Bolton,Households with lone parent not in employment,4
2011-03-27,Bolton 009A,E01004778,Bolton,Households with lone parent not in employment,1
2011-03-27,Bolton 009B,E01004780,Bolton,Households with lone parent not in employment,10
2011-03-27,Bolton 009C,E01004782,Bolton,Households with lone parent not in employment,6
2011-03-27,Bolton 009D,E01004783,Bolton,Households with lone parent not in employment,4
2011-03-27,Bolton 010A,E01004802,Bolton,Households with lone parent not in employment,57
2011-03-27,Bolton 010B,E01004926,Bolton,Households with lone parent not in employment,47
2011-03-27,Bolton 010C,E01004927,Bolton,Households with lone parent not in employment,63
2011-03-27,Bolton 010D,E01004929,Bolton,Households with lone parent not in employment,31
2011-03-27,Bolton 011A,E01004820,Bolton,Households with lone parent not in employment,40
2011-03-27,Bolton 011B,E01004825,Bolton,Households with lone parent not in employment,30
2011-03-27,Bolton 011C,E01004826,Bolton,Households with lone parent not in employment,42
2011-03-27,Bolton 011D,E01004865,Bolton,Households with lone parent not in employment,11
2011-03-27,Bolton 011E,E01004866,Bolton,Households with lone parent not in employment,43
2011-03-27,Bolton 012A,E01004840,Bolton,Households with lone parent not in employment,15
2011-03-27,Bolton 012B,E01004841,Bolton,Households with lone parent not in employment,46
2011-03-27,Bolton 012C,E01004842,Bolton,Households with lone parent not in employment,5
2011-03-27,Bolton 012D,E01004919,Bolton,Households with lone parent not in employment,10
2011-03-27,Bolton 012E,E01004920,Bolton,Households with lone parent not in employment,28
2011-03-27,Bolton 013A,E01004787,Bolton,Households with lone parent not in employment,54
2011-03-27,Bolton 013B,E01004793,Bolton,Households with lone parent not in employment,43
2011-03-27,Bolton 013C,E01004794,Bolton,Households with lone parent not in employment,66
2011-03-27,Bolton 013D,E01004795,Bolton,Households with lone parent not in employment,26
2011-03-27,Bolton 013E,E01004797,Bolton,Households with lone parent not in employment,40
2011-03-27,Bolton 014A,E01004775,Bolton,Households with lone parent not in employment,4
2011-03-27,Bolton 014B,E01004885,Bolton,Households with lone parent not in employment,3
2011-03-27,Bolton 014C,E01004886,Bolton,Households with lone parent not in employment,24
2011-03-27,Bolton 014D,E01004887,Bolton,Households with lone parent not in employment,18
2011-03-27,Bolton 015A,E01004868,Bolton,Households with lone parent not in employment,34
2011-03-27,Bolton 015B,E01004869,Bolton,Households with lone parent not in employment,52
2011-03-27,Bolton 015C,E01004870,Bolton,Households with lone parent not in employment,15
2011-03-27,Bolton 015D,E01004871,Bolton,Households with lone parent not in employment,35
2011-03-27,Bolton 015E,E01004922,Bolton,Households with lone parent not in employment,31
2011-03-27,Bolton 016B,E01004822,Bolton,Households with lone parent not in employment,30
2011-03-27,Bolton 016C,E01004823,Bolton,Households with lone parent not in employment,47
2011-03-27,Bolton 016D,E01004848,Bolton,Households with lone parent not in employment,38
2011-03-27,Bolton 016E,E01033217,Bolton,Households with lone parent not in employment,14
2011-03-27,Bolton 016F,E01033220,Bolton,Households with lone parent not in employment,27
2011-03-27,Bolton 017A,E01004818,Bolton,Households with lone parent not in employment,18
2011-03-27,Bolton 017B,E01004819,Bolton,Households with lone parent not in employment,11
2011-03-27,Bolton 017C,E01004928,Bolton,Households with lone parent not in employment,37
2011-03-27,Bolton 017D,E01004930,Bolton,Households with lone parent not in employment,17
2011-03-27,Bolton 017E,E01004931,Bolton,Households with lone parent not in employment,31
2011-03-27,Bolton 017F,E01004932,Bolton,Households with lone parent not in employment,18
2011-03-27,Bolton 018A,E01004834,Bolton,Households with lone parent not in employment,19
2011-03-27,Bolton 018B,E01004838,Bolton,Households with lone parent not in employment,39
2011-03-27,Bolton 018C,E01004843,Bolton,Households with lone parent not in employment,3
2011-03-27,Bolton 018D,E01004845,Bolton,Households with lone parent not in employment,5
2011-03-27,Bolton 018E,E01004923,Bolton,Households with lone parent not in employment,13
2011-03-27,Bolton 019A,E01004796,Bolton,Households with lone parent not in employment,14
2011-03-27,Bolton 019B,E01004798,Bolton,Households with lone parent not in employment,39
2011-03-27,Bolton 019C,E01004799,Bolton,Households with lone parent not in employment,7
2011-03-27,Bolton 019D,E01004800,Bolton,Households with lone parent not in employment,4
2011-03-27,Bolton 019E,E01004801,Bolton,Households with lone parent not in employment,70
2011-03-27,Bolton 019F,E01004917,Bolton,Households with lone parent not in employment,44
2011-03-27,Bolton 020A,E01004835,Bolton,Households with lone parent not in employment,2
2011-03-27,Bolton 020B,E01004836,Bolton,Households with lone parent not in employment,4
2011-03-27,Bolton 020C,E01004837,Bolton,Households with lone parent not in employment,2
2011-03-27,Bolton 020D,E01004844,Bolton,Households with lone parent not in employment,4
2011-03-27,Bolton 020E,E01004897,Bolton,Households with lone parent not in employment,9
2011-03-27,Bolton 021A,E01004827,Bolton,Households with lone parent not in employment,41
2011-03-27,Bolton 021B,E01004849,Bolton,Households with lone parent not in employment,24
2011-03-27,Bolton 021C,E01004850,Bolton,Households with lone parent not in employment,39
2011-03-27,Bolton 021D,E01004851,Bolton,Households with lone parent not in employment,17
2011-03-27,Bolton 021E,E01004853,Bolton,Households with lone parent not in employment,32
2011-03-27,Bolton 022A,E01004811,Bolton,Households with lone parent not in employment,40
2011-03-27,Bolton 022B,E01004812,Bolton,Households with lone parent not in employment,30
2011-03-27,Bolton 022C,E01004813,Bolton,Households with lone parent not in employment,27
2011-03-27,Bolton 022D,E01004815,Bolton,Households with lone parent not in employment,28
2011-03-27,Bolton 022E,E01004817,Bolton,Households with lone parent not in employment,15
2011-03-27,Bolton 023A,E01004828,Bolton,Households with lone parent not in employment,35
2011-03-27,Bolton 023B,E01004829,Bolton,Households with lone parent not in employment,17
2011-03-27,Bolton 023C,E01004832,Bolton,Households with lone parent not in employment,23
2011-03-27,Bolton 023D,E01004854,Bolton,Households with lone parent not in employment,19
2011-03-27,Bolton 023E,E01004878,Bolton,Households with lone parent not in employment,14
2011-03-27,Bolton 024A,E01004911,Bolton,Households with lone parent not in employment,22
2011-03-27,Bolton 024B,E01004912,Bolton,Households with lone parent not in employment,5
2011-03-27,Bolton 024C,E01004913,Bolton,Households with lone parent not in employment,23
2011-03-27,Bolton 024D,E01004914,Bolton,Households with lone parent not in employment,6
2011-03-27,Bolton 024E,E01004915,Bolton,Households with lone parent not in employment,9
2011-03-27,Bolton 024F,E01004916,Bolton,Households with lone parent not in employment,18
2011-03-27,Bolton 024G,E01004918,Bolton,Households with lone parent not in employment,2
2011-03-27,Bolton 025A,E01004846,Bolton,Households with lone parent not in employment,29
2011-03-27,Bolton 025B,E01004847,Bolton,Households with lone parent not in employment,59
2011-03-27,Bolton 025C,E01004852,Bolton,Households with lone parent not in employment,17
2011-03-27,Bolton 025D,E01004877,Bolton,Households with lone parent not in employment,48
2011-03-27,Bolton 025E,E01004879,Bolton,Households with lone parent not in employment,33
2011-03-27,Bolton 026A,E01004830,Bolton,Households with lone parent not in employment,28
2011-03-27,Bolton 026B,E01004831,Bolton,Households with lone parent not in employment,10
2011-03-27,Bolton 026C,E01004833,Bolton,Households with lone parent not in employment,6
2011-03-27,Bolton 026D,E01004839,Bolton,Households with lone parent not in employment,46
2011-03-27,Bolton 027A,E01004814,Bolton,Households with lone parent not in employment,29
2011-03-27,Bolton 027B,E01004855,Bolton,Households with lone parent not in employment,30
2011-03-27,Bolton 027C,E01004856,Bolton,Households with lone parent not in employment,38
2011-03-27,Bolton 027D,E01004857,Bolton,Households with lone parent not in employment,46
2011-03-27,Bolton 028A,E01004891,Bolton,Households with lone parent not in employment,2
2011-03-27,Bolton 028B,E01004893,Bolton,Households with lone parent not in employment,2
2011-03-27,Bolton 028C,E01004894,Bolton,Households with lone parent not in employment,20
2011-03-27,Bolton 028E,E01004901,Bolton,Households with lone parent not in employment,4
2011-03-27,Bolton 028F,E01033218,Bolton,Households with lone parent not in employment,8
2011-03-27,Bolton 028G,E01033219,Bolton,Households with lone parent not in employment,4
2011-03-27,Bolton 029A,E01004816,Bolton,Households with lone parent not in employment,18
2011-03-27,Bolton 029B,E01004872,Bolton,Households with lone parent not in employment,36
2011-03-27,Bolton 029C,E01004873,Bolton,Households with lone parent not in employment,48
2011-03-27,Bolton 029D,E01004875,Bolton,Households with lone parent not in employment,21
2011-03-27,Bolton 029E,E01004880,Bolton,Households with lone parent not in employment,9
2011-03-27,Bolton 030A,E01004892,Bolton,Households with lone parent not in employment,2
2011-03-27,Bolton 030B,E01004896,Bolton,Households with lone parent not in employment,2
2011-03-27,Bolton 030C,E01004899,Bolton,Households with lone parent not in employment,13
2011-03-27,Bolton 030D,E01004900,Bolton,Households with lone parent not in employment,11
2011-03-27,Bolton 031A,E01004776,Bolton,Households with lone parent not in employment,21
2011-03-27,Bolton 031B,E01004895,Bolton,Households with lone parent not in employment,16
2011-03-27,Bolton 031C,E01004936,Bolton,Households with lone parent not in employment,8
2011-03-27,Bolton 031D,E01004938,Bolton,Households with lone parent not in employment,35
2011-03-27,Bolton 031E,E01004939,Bolton,Households with lone parent not in employment,24
2011-03-27,Bolton 032A,E01004858,Bolton,Households with lone parent not in employment,16
2011-03-27,Bolton 032B,E01004859,Bolton,Households with lone parent not in employment,36
2011-03-27,Bolton 032C,E01004860,Bolton,Households with lone parent not in employment,32
2011-03-27,Bolton 032D,E01004902,Bolton,Households with lone parent not in employment,19
2011-03-27,Bolton 032E,E01004906,Bolton,Households with lone parent not in employment,25
2011-03-27,Bolton 033A,E01004861,Bolton,Households with lone parent not in employment,54
2011-03-27,Bolton 033B,E01004862,Bolton,Households with lone parent not in employment,49
2011-03-27,Bolton 033C,E01004863,Bolton,Households with lone parent not in employment,37
2011-03-27,Bolton 033D,E01004874,Bolton,Households with lone parent not in employment,45
2011-03-27,Bolton 033E,E01004876,Bolton,Households with lone parent not in employment,50
2011-03-27,Bolton 034A,E01004903,Bolton,Households with lone parent not in employment,8
2011-03-27,Bolton 034B,E01004904,Bolton,Households with lone parent not in employment,15
2011-03-27,Bolton 034C,E01004905,Bolton,Households with lone parent not in employment,26
2011-03-27,Bolton 034D,E01004907,Bolton,Households with lone parent not in employment,28
2011-03-27,Bolton 034E,E01004908,Bolton,Households with lone parent not in employment,12
2011-03-27,Bolton 034F,E01004909,Bolton,Households with lone parent not in employment,30
2011-03-27,Bolton 034G,E01004910,Bolton,Households with lone parent not in employment,16
2011-03-27,Bolton 035A,E01004933,Bolton,Households with lone parent not in employment,5
2011-03-27,Bolton 035B,E01004934,Bolton,Households with lone parent not in employment,25
2011-03-27,Bolton 035C,E01004935,Bolton,Households with lone parent not in employment,11
2011-03-27,Bolton 035D,E01004937,Bolton,Households with lone parent not in employment,8
